chapter,chapter_url,pdf_name,pdf_url,local_path
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 16, Department of Information Technology",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division16.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division16.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 17, Fiscal",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division17.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division17.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 18, City Departments",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division18.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division18.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 19, Government Affairs Department",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division19.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division19.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 20, Executive Services Administration and Management",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division20.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division20.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 21, Council Administration Division",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division21.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division21.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 22, Family Justice Center Department",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division22.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division22.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 23, Office of Independent Budget Analyst",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division23.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division23.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 24, Development Services Department, City Planning Department, and Economic Development Department",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division24.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division24.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 25, Risk Management",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division25.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division25.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 26, Procedures Governing the Management of City Records",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division26.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division26.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 27, Equal Employment Opportunity Outreach Program",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division27.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division27.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 28, Service Worker Retention",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division28.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division28.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 30, Contract Definitions and Procedures",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division30.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division30.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 31, Public Works Contracts",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division31.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division31.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 32, Contracts for Goods, Services, and Consultants",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division32.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division32.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 33, Design-Build Contracts",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division33.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division33.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 34, Alternative Procurement of Design-Build Contracts for Qualifying Complex Public Facilities",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division34.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division34.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 35, Nondiscrimination in Contracting",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division35.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division35.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 36, Small and Local Business Program Administration",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division36.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division36.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 37, Managed Competition Independent Review Board",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division37.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division37.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 38, Construction Manager at Risk Contracts",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division38.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division38.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 39, Responsible Banking Ordinance",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division39.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division39.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 40, Special Events",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division40.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division40.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 41, Securities Disclosure",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division41.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division41.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 42, City of San Diego Living Wage Ordinance",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division42.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division42.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 43, Equal Benefits Ordinance",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division43.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division43.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 44, Fair and Open Competition in Construction Ordinance",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division44.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division44.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 45, Sunshine Act",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division45.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division45.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Ch 02 Art 02 Div 46, Communications",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division46.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division46.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Ch 02 Art 02 Div 47, Performance and Analytics",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division47.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division47.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 48, Equal Pay Ordinance",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division48.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division48.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 49, Library Department",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division49.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division49.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 50, Human Resources Department",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division50.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division50.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,City Clerk Administrative Guidelines,https://www.sandiego.gov/sites/default/files/city_clerk_administrative_guidelines.pdf,municipal_code_pdfs\Chapter_02_Government\city_clerk_administrative_guidelines.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 51, General Services Department",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division51.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division51.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 52, Grants Application, Acceptance, and Oversight",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division52.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division52.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 53, Office of Boards and Commissions",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division53.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division53.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 54, Sustainability and Mobility Department",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division54.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division54.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,Chap 02 Art 02 Div 55 - Office of Race and Equity,http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division55.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division55.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 56, Office of the Commission on Police Practices",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division56.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division56.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 57, Compliance Department",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division57.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division57.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 58, Homelessness Strategies and Solutions Department",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division58.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division58.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 59, Cultural Affairs Department",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division59.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division59.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 60, Live Event Worker Safety",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division60.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division60.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 03 Div 01, Definitions",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art03Division01.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art03Division01.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 03 Div 02, Classification Compensation",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art03Division02.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art03Division02.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 03 Div 03, Applicants and Applications",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art03Division03.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art03Division03.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 03 Div 04, Examinations",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art03Division04.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art03Division04.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 03 Div 05, Eligible Lists",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art03Division05.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art03Division05.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 03 Div 06, Layoff and Re-employment",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art03Division06.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art03Division06.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 03 Div 07, Requisition and Certification",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art03Division07.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art03Division07.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 03 Div 08, Appointments",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art03Division08.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art03Division08.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 03 Div 09, Promotions",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art03Division09.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art03Division09.pdf
